player_id,player_name,player_url,player_category,Season,Age,Squad,Country,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
ca789bb5,Jonas Horsch,https://fbref.com/en/players/ca789bb5/Jonas-Horsch,HO,2 Seasons,1 Club,,1 League,,1,1,90,1.0,8,8.00,14,6,42.9,0,0,1,0,0.0,0,0,0,0,,,
a930200d,Zadi Hortalin,https://fbref.com/en/players/a930200d/Zadi-Hortalin,HO,2022-2023,32,US Le Pays du Valois,FRA,Coupe de France,Rd7,1,1,90,1.0,,,,,,0,0,1,0,0.0,1,1,0,0,0.0,Matches
a930200d,Zadi Hortalin,https://fbref.com/en/players/a930200d/Zadi-Hortalin,HO,2 Seasons,1 Club,,1 League,,1,1,90,1.0,,,,,,0,0,1,0,0.0,1,1,0,0,0.0,,
c51316f2,Aaron Howe,https://fbref.com/en/players/c51316f2/Aaron-Howe,HO,2015-2016,27,Basingstoke Town FC,ENG,FA Cup,85th,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,Matches
c51316f2,Aaron Howe,https://fbref.com/en/players/c51316f2/Aaron-Howe,HO,2 Seasons,2 Clubs,,1 League,,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,,
c51316f2,Aaron Howe,https://fbref.com/en/players/c51316f2/Aaron-Howe,HO,Basingstoke Town FC (1 Season),,1 League,,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,,,
ec49a864,Andrea Hoxha,https://fbref.com/en/players/ec49a864/Andrea-Hoxha,HO,2019-2020,19,FC 08 Villingen,GER,DFB-Pokal,33rd,1,1,120,1.3,3,2.25,10,7,70.0,0,0,1,0,0.0,0,0,0,0,,Matches
ec49a864,Andrea Hoxha,https://fbref.com/en/players/ec49a864/Andrea-Hoxha,HO,2021-2022,21,FC 08 Villingen,GER,DFB-Pokal,Rd1,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
ec49a864,Andrea Hoxha,https://fbref.com/en/players/ec49a864/Andrea-Hoxha,HO,2024-2025,24,FC 08 Villingen,GER,DFB-Pokal,R64,1,1,90,1.0,4,4.00,10,6,60.0,0,0,1,0,0.0,0,0,0,0,,Matches
ec49a864,Andrea Hoxha,https://fbref.com/en/players/ec49a864/Andrea-Hoxha,HO,3 Seasons,1 Club,,1 League,,3,3,300,3.3,11,3.30,28,17,60.7,0,0,3,0,0.0,0,0,0,0,,,
2c21645e,Matthieu Hucliez,https://fbref.com/en/players/2c21645e/Matthieu-Hucliez,HU,2019-2020,23,Olympique Saint-Quentin,FRA,Coupe de France,65th,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
2c21645e,Matthieu Hucliez,https://fbref.com/en/players/2c21645e/Matthieu-Hucliez,HU,2020-2021,24,Olympique Saint-Quentin,FRA,Coupe de France,108th,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
