player_id,season,championship_id,club_id,total_team_matches,total_matches_played,total_matches_started,total_minutes_played,total_goals,total_home_goals,total_away_goals,total_left_footed_goals,total_right_footed_goals,total_assists,total_attempts,total_shots_on_target,total_shots_assists,total_balls_played,total_touches_in_opposition_box,total_duels_won,total_interceptions,total_tackles_won,total_fouls_committed,total_fouls_suffered,total_yellow_cards,total_red_cards,total_man_of_the_match,total_team_goals,fl1_average_rating,ratio_balls_played_per_match,ratio_matches_started,ratio_goals_every_n_minutes,ratio_shots_on_target_per_match,ratio_touches_in_opposition_box_per_match
l1_championship_player_2025_1_84358,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_506095,2025,1,l1_championship_club_2025_1,10,4,,34,,,,,,,,,,16,,1,1,,2,,,,,12,4.540000000000001,42.35,,,,
l1_championship_player_2025_1_506095,2025,10,l1_championship_club_2025_1,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
l1_championship_player_2025_1_500906,2025,1,l1_championship_club_2025_1,12,9,3,322,2,2,,2,,1,9,3,5,213,12,10,4,1,4,1,1,,,17,4.870000000000001,59.53,0.25,161,0.84,3.35
l1_championship_player_2025_1_500906,2025,6,l1_championship_club_2025_9000000003,7,3,1,101,,,,,,,4,3,3,56,6,4,,1,3,,1,,,20,4.663333333333333,49.9,0.14,,2.67,5.35
l1_championship_player_2025_1_500906,2025,6,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_500906,2025,10,l1_championship_club_2025_1,2,2,1,90,,,,,,,,,1,52,3,6,,,1,1,1,,,5,4.245,52,0.5,,,3
l1_championship_player_2025_1_92581,2025,1,l1_championship_club_2025_1,30,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,
l1_championship_player_2025_1_92581,2025,6,l1_championship_club_2025_1,8,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
l1_championship_player_2025_1_92581,2025,10,l1_championship_club_2025_1,4,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
l1_championship_player_2025_1_92581,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_500758,2025,1,l1_championship_club_2025_1,12,11,11,890,,,,,,,10,2,7,586,18,59,6,14,10,17,3,,,17,4.641818181818182,59.26,0.92,,0.2,1.82
l1_championship_player_2025_1_500758,2025,6,l1_championship_club_2025_9000000003,12,6,5,423,1,1,,,,,3,2,7,296,14,23,4,8,6,4,,,,27,5.903333333333333,62.98,0.42,423,0.43,2.98
l1_championship_player_2025_1_500758,2025,6,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_500758,2025,10,l1_championship_club_2025_1,2,1,1,70,,,,,,,,,,36,,2,1,1,2,1,,,,5,5.22,46.29,0.5,,,
l1_championship_player_2025_1_500758,2025,13,l1_championship_club_2025_9000000198,7,4,3,239,1,,1,,,,4,2,2,141,11,20,1,6,9,6,1,,,10,5.032500000000001,53.1,0.43,239,0.75,4.14
l1_championship_player_2025_1_105460,2025,1,l1_championship_club_2025_1,28,16,8,653,,,,,,1,2,,9,608,3,29,8,8,12,1,1,1,,53,4.781875,83.8,0.29,,,0.41
l1_championship_player_2025_1_105460,2025,6,l1_championship_club_2025_1,8,5,4,330,,,,,,,1,,2,308,1,12,6,2,9,4,1,,,11,5.738,84,0.5,,,0.27
l1_championship_player_2025_1_105460,2025,10,l1_championship_club_2025_1,4,1,1,58,,,,,,,2,,,35,,1,,,,,,,,20,4.62,54.31,0.25,,,
l1_championship_player_2025_1_105460,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_27361,2025,1,l1_championship_club_2025_1,30,27,20,1821,9,6,3,1,8,5,49,26,25,618,97,45,5,4,19,16,1,,2,58,5.385925925925925,30.54,0.67,202.33,1.29,4.79
l1_championship_player_2025_1_27361,2025,6,l1_championship_club_2025_1,8,8,6,589,3,3,,,3,,22,10,8,225,25,23,4,1,4,8,,,,11,5.86375,34.38,0.75,196.33,1.53,3.82
l1_championship_player_2025_1_27361,2025,10,l1_championship_club_2025_1,4,2,1,102,1,1,,,1,,3,1,,33,7,3,1,1,1,,,,,20,5.215,29.12,0.25,102,0.88,6.18
l1_championship_player_2025_1_27361,2025,15,l1_championship_club_2025_1,1,1,,23,,,,,,,,,,,,,,,2,,1,,,2,4.67,,,,,
l1_championship_player_2025_1_507664,2025,1,l1_championship_club_2025_1,30,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,
l1_championship_player_2025_1_507664,2025,6,l1_championship_club_2025_1,8,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
l1_championship_player_2025_1_507664,2025,10,l1_championship_club_2025_1,4,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
l1_championship_player_2025_1_62575,2025,1,l1_championship_club_2025_1,30,19,13,1124,7,4,3,,7,3,33,15,28,542,56,45,3,7,10,10,,,3,58,5.489473684210526,43.4,0.43,160.57,1.2,4.48
l1_championship_player_2025_1_62575,2025,6,l1_championship_club_2025_1,8,3,2,165,,,,,,,3,1,3,90,11,2,,,2,,1,,,11,4.03,49.09,0.25,,0.55,6
l1_championship_player_2025_1_62575,2025,10,l1_championship_club_2025_1,4,2,2,142,3,1,2,,3,,7,5,2,61,14,5,,2,3,,,,,20,8.145,38.66,0.5,47.33,3.17,8.87
l1_championship_player_2025_1_62575,2025,15,l1_championship_club_2025_1,1,1,1,67,,,,,,,,1,,,,,,,,1,,,,2,4.17,,1,,1.34,
l1_championship_player_2025_1_103656,2025,1,l1_championship_club_2025_1,30,28,26,2175,15,9,6,5,10,6,102,42,50,1609,144,83,4,11,20,23,4,,8,58,6.002857142857143,66.58,0.87,145,1.74,5.96
l1_championship_player_2025_1_103656,2025,6,l1_championship_club_2025_1,8,8,8,671,3,1,2,2,1,,34,16,15,459,44,30,1,7,7,10,1,,,11,5.713750000000001,61.56,1,223.67,2.15,5.9
l1_championship_player_2025_1_103656,2025,10,l1_championship_club_2025_1,4,4,4,345,6,2,4,3,3,,12,9,11,237,30,20,,3,2,5,1,,,20,8.120000000000001,61.83,1,57.5,2.35,7.83
l1_championship_player_2025_1_103656,2025,15,l1_championship_club_2025_1,1,1,1,89,1,,1,,1,,,1,,,,,,,1,2,,,,2,6.09,,1,89,1.01,
l1_championship_player_2025_1_100680,2025,1,l1_championship_club_2025_1,19,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,
l1_championship_player_2025_1_100680,2025,6,l1_championship_club_2025_1,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
l1_championship_player_2025_1_100680,2025,10,l1_championship_club_2025_1,4,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
l1_championship_player_2025_1_100680,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_105296,2025,1,l1_championship_club_2025_1,30,27,20,1774,6,3,3,1,5,3,47,19,26,1015,90,93,14,9,18,30,3,,2,58,5.407037037037037,51.49,0.67,295.67,0.96,4.57
l1_championship_player_2025_1_105296,2025,6,l1_championship_club_2025_1,8,8,5,471,4,2,2,,4,,15,7,7,234,21,21,1,2,3,7,,,,11,5.44625,44.71,0.63,117.75,1.34,4.01
l1_championship_player_2025_1_105296,2025,10,l1_championship_club_2025_1,4,3,3,257,2,1,1,1,1,,6,3,3,129,14,17,3,1,5,7,,,,20,5.989999999999999,45.18,0.75,128.5,1.05,4.9
l1_championship_player_2025_1_105296,2025,15,l1_championship_club_2025_1,1,1,1,67,,,,,,,,1,,,,,,,,2,,,,2,3.74,,1,,1.34,
l1_championship_player_2025_1_104050,2025,1,l1_championship_club_2025_1,28,12,6,530,2,1,1,,2,1,11,5,8,312,28,34,4,5,7,9,1,,,53,4.8875,52.98,0.21,265,0.85,4.75
l1_championship_player_2025_1_104050,2025,6,l1_championship_club_2025_1,8,2,2,113,,,,,,,1,,1,55,1,3,2,1,2,2,,,,11,3.9450000000000003,43.81,0.25,,,0.8
l1_championship_player_2025_1_104050,2025,10,l1_championship_club_2025_1,4,3,1,77,1,,1,,1,,3,1,2,54,7,5,1,,,2,,,,20,6.090000000000001,63.12,0.25,77,1.17,8.18
l1_championship_player_2025_1_104050,2025,15,l1_championship_club_2025_1,1,1,,23,,,,,,,,,,,,,,,,,,,,2,4.9,,,,,
l1_championship_player_2025_1_99142,2025,1,l1_championship_club_2025_1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_99142,2025,6,l1_championship_club_2025_1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_99142,2025,10,l1_championship_club_2025_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_99142,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_102045,2025,1,l1_championship_club_2025_1,20,4,2,211,,,,,,,2,1,1,125,2,7,,2,4,2,1,1,,46,4.495,53.32,0.1,,0.43,0.85
l1_championship_player_2025_1_102045,2025,6,l1_championship_club_2025_1,8,2,1,112,,,,,,,1,,1,50,,6,2,,1,2,,,,11,4.18,40.18,0.13,,,
l1_championship_player_2025_1_102045,2025,10,l1_championship_club_2025_1,2,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
l1_championship_player_2025_1_102045,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_101741,2025,1,l1_championship_club_2025_1,20,16,11,988,2,1,1,1,,1,9,2,11,730,31,55,6,14,22,16,4,,,46,5.480625,66.5,0.55,494,0.18,2.82
l1_championship_player_2025_1_101741,2025,6,l1_championship_club_2025_1,8,7,4,388,,,,,,,2,1,7,278,14,23,3,3,6,10,1,,,11,4.474285714285714,64.48,0.5,,0.23,3.25
l1_championship_player_2025_1_101741,2025,10,l1_championship_club_2025_1,3,1,1,90,,,,,,,2,1,3,89,5,3,,2,,1,,,,18,9.72,89,0.33,,1,5
l1_championship_player_2025_1_101741,2025,15,l1_championship_club_2025_1,1,1,,13,,,,,,,,,,,,,,,,,,,,2,4.47,,,,,
l1_championship_player_2025_1_92851,2025,1,l1_championship_club_2025_1,18,3,,31,,,,,,,,,1,28,,5,1,,1,2,,,,41,4.623333333333334,81.29,,,,
l1_championship_player_2025_1_92851,2025,6,l1_championship_club_2025_1,6,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
l1_championship_player_2025_1_92851,2025,10,l1_championship_club_2025_1,2,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
l1_championship_player_2025_1_92851,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_93674,2025,1,l1_championship_club_2025_1,20,8,,68,,,,,,,3,1,1,69,3,8,,,4,4,,,,46,4.4975,91.32,,,1.32,3.97
l1_championship_player_2025_1_93674,2025,6,l1_championship_club_2025_1,8,1,1,62,,,,,,,1,,1,33,,3,1,,1,3,1,,,11,6.18,47.9,0.13,,,
l1_championship_player_2025_1_93674,2025,10,l1_championship_club_2025_1,2,1,,22,,,,,,,1,,1,30,2,3,,1,3,,,,,15,4.99,122.73,,,,8.18
l1_championship_player_2025_1_93674,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
l1_championship_player_2025_1_91446,2025,1,l1_championship_club_2025_1,20,14,12,892,3,2,1,,3,,11,5,18,681,11,33,4,6,19,12,4,,,46,5.250714285714286,68.71,0.6,297.33,0.5,1.11
l1_championship_player_2025_1_91446,2025,6,l1_championship_club_2025_1,8,4,,64,,,,,,,1,,1,58,2,5,,1,1,2,,,,11,4.157500000000001,81.56,,,,2.81
l1_championship_player_2025_1_91446,2025,10,l1_championship_club_2025_1,2,2,2,130,1,,1,,1,,3,2,5,150,4,8,1,1,2,3,1,,,15,7.28,103.85,1,130,1.38,2.77
l1_championship_player_2025_1_91446,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
